Organization,Search Category 1,Search Category 2,Search Category 3,Search Category 4,Search Category 5,Search Category 6,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 1,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Revised Service Class: Level 2,Service Class 1,Service Class 2,Service Class 3,Website URL,Address,Unit Number,Community,State,Zip Code,County,Phone Number,Contact Name 1,Contact Email 1,Contact Name 2,Contact Email 2,Target Population 1,Target Population 2,Target Population 3,Age Range,Mission Statement,Additional Notes,Date Emailed,Date Called,Initials,,,,,,,,,,,,,,,,,,,
Tufts University LGBT Center,Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://ase.tufts.edu/lgbt/resources/index.asp,226 College Ave,Bolles House,Medford,MA,02155,Middlesex,617.627.3770,,lgbt@tufts.edu,Tom Bourdon,mailto:Tom.Bourdon@tufts.edu,LGBTQ youth,,,college student,"Tufts is home to a wide variety of LGBT organizations. Undergraduates, graduate students, faculty/staff, and alumni are all represented by different groups. We have support groups, discussion groups, social organizations and outreach teams. ",,,,,,,,,,,,,,,,,,,,,,,
"UMass Dartmouth Center for Women, Gender and Sexuality and Pride Alliance",Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,,LGBTQ youth,allies,http://www.umassd.edu/cwgs/,285 Old Westport Road,MacLean Campus Center Suite 207,North Dartmouth,MA,02747,Bristol,508.910.6567,,cwgs@umassd.edu,Clubhouse,,,college students,,," The Center for Women, Gender & Sexuality offers resources and support on LGBT and women’s issues.  In addition, it coordinates campus initiatives to prevent sexual assault and intimate partner violence. CWGS is a voice for women and the lesbian, gay, bisexual, and transgendered community, with the purpose of eliminating barriers, diminishing prejudices, and creating a supportive climate and space for all.",,,,,,,,,,,,,,,,,,,,,,,
Venture Out,Community Group,,,,,,Para-professional Support Services ,,,,,Recreation services,,,,,,,Clubhouse,,,http://www.visitnorthampton.net/gay-northampton/northampton-glbt-resources.html,,,Northampton,MA,,Hampshire,(413) 584-8764,,ventureout.geo@yahoo.com,,,LGBTQ youth,,,,"This ia an outdoor adventure club for the lesbian, gay, bisexual, and transgender community of Western Mass. Volleyball, bowling, and lots more.",,,,,,,,,,,,,,,,,,,,,,,
"WAGLY (West Suburban Alliance of Gay, Lesbian, Bisexual, Transgender and Queer Youth)",Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional Support Services ,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,www.wagly.org,309 Washington St,,Wellesley Hills,MA,02481,Norfolk,", (781) 235-7423 x112",,info@wagly.org,,,LGBTQ youth,,,,"The mission of the West Suburban Alliance of Gay, Lesbian, Bisexual, Transgender, and Queer Youth (WAGLY) is to support the health and emotional well-being of GLBTQ teens in the Boston MetroWest area by offering youth-led and adult-supported social and educational programs.",,,,,,,,,,,,,,,,,,,,,,,
Waltham House: The Home for Little Wanderers,Housing and Shelter Services,,,,,,Support Services,,,,,Placement Services and Supports,,,,,,,"Child/Adolescent Short-Term Stabilization, Emergency Placement",,,http://www.thehome.org/site/PageServer?pagename=programs_waltham_house#.UZTtTKJwfSg,,,Waltham,MA,02451,Suffolk,(617) 267-3700,,rreed@thehome.org,,,LGBTQ youth,,,14-18,"Waltham House is a group home program designed to provide a safe and supportive living environment for up to 12 gay, lesbian, bisexual and transgender (GLBT) youth ages 14-18.",,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,"Education, Training and Employment","Counseling, Therapy, Psychological and Psychiatric Services",Housing and Shelter Services,Hotline Services,Awareness and Advocacy,,Behavioral Health Services ,Para-professional Support Services,Placement Services,Training and Educational Activities,Awareness,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,Short-term stabilization,Hotline Services,"Community outreach, Education and Engagement",,"Direct Prevention, Outreach and Stabilization Services",,,http://www.waysideyouth.org/,1 Frederick Abbott Way,,Framingham,MA,01701,Middlesex,508-879-9800,,,,,LGBTQ youth (homeless and at risk),,,,"Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.",,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,"Education, Training and Employment","Counseling, Therapy, Psychological and Psychiatric Services",Housing and Shelter Services,Hotline Services,Awareness and Advocacy,,Behavioral Health Services ,Para-professional Support Services,Placement Services,Training and Educational Activities,Awareness,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,Short-term stabilization,Hotline Services,"Community outreach, Education and Engagement",,"Direct Prevention, Outreach and Stabilization Services",,,http://www.waysideyouth.org/,88 Lincoln Street,,Framingham,MA,01701,Middlesex,508-620-0010,,,,,LGBTQ youth (homeless and at risk),,,,"Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.",,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,"Education, Training and Employment","Counseling, Therapy, Psychological and Psychiatric Services",Housing and Shelter Services,Hotline Services,Awareness and Advocacy,,Behavioral Health Services ,Para-professional Support Services,Placement Services,Training and Educational Activities,Awareness,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,Short-term stabilization,Hotline Services,"Community outreach, Education and Engagement",,"Direct Prevention, Outreach and Stabilization Services",,,http://www.waysideyouth.org/,68 Henry Street,,Framingham,MA,01702,Middlesex, 508-879-1424,,,,,LGBTQ youth (homeless and at risk),,,,"Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.",,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,"Education, Training and Employment","Counseling, Therapy, Psychological and Psychiatric Services",Housing and Shelter Services,Hotline Services,Awareness and Advocacy,,Behavioral Health Services ,Para-professional Support Services,Placement Services,Training and Educational Activities,Awareness,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,Short-term stabilization,Hotline Services,"Community outreach, Education and Engagement",,"Direct Prevention, Outreach and Stabilization Services",,,http://www.waysideyouth.org/,118 Central Street,,Waltham,MA,02453,Middlesex,781-647-1432,,,,,LGBTQ youth (homeless and at risk),,,,"Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.",,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,"Education, Training and Employment","Counseling, Therapy, Psychological and Psychiatric Services",Housing and Shelter Services,Hotline Services,Awareness and Advocacy,,Behavioral Health Services ,Para-professional Support Services,Placement Services,Training and Educational Activities,Awareness,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,Short-term stabilization,Hotline Services,"Community outreach, Education and Engagement",,"Direct Prevention, Outreach and Stabilization Services",,,http://www.waysideyouth.org/,127 North Beacon Street,,Watertown,MA,02472,Middlesex,617-924-1027,,,,,LGBTQ youth (homeless and at risk),,,,"Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.",,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,"Education, Training and Employment","Counseling, Therapy, Psychological and Psychiatric Services",Housing and Shelter Services,Hotline Services,Awareness and Advocacy,,Behavioral Health Services ,Para-professional Support Services,Placement Services,Training and Educational Activities,Awareness,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,Short-term stabilization,Hotline Services,"Community outreach, Education and Engagement",,"Direct Prevention, Outreach and Stabilization Services",,,http://www.waysideyouth.org/,12 Prescott Street,,Arlington,MA,02747,Middlesex,781-643-1668,,,,,LGBTQ youth (homeless and at risk),,,,"Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.",,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,"Education, Training and Employment","Counseling, Therapy, Psychological and Psychiatric Services",Housing and Shelter Services,Hotline Services,Awareness and Advocacy,,Behavioral Health Services ,Para-professional Support Services,Placement Services,Training and Educational Activities,Awareness,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,Short-term stabilization,Hotline Services,"Community outreach, Education and Engagement",,"Direct Prevention, Outreach and Stabilization Services",,,http://www.waysideyouth.org/,6 Pleasant St.,Suite 220,Malden,MA,02148,Middlesex,781-338-2640,,,,,LGBTQ youth (homeless and at risk),,,,"Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.",,,,,,,,,,,,,,,,,,,,,,,
Wayside Youth,"Education, Training and Employment","Counseling, Therapy, Psychological and Psychiatric Services",Housing and Shelter Services,Hotline Services,Awareness and Advocacy,,Behavioral Health Services ,Para-professional Support Services,Placement Services,Training and Educational Activities,Awareness,Clinical Counseling,Behavioral Counseling,Other Professional Counseling and Therapy,Short-term stabilization,Hotline Services,"Community outreach, Education and Engagement",,"Direct Prevention, Outreach and Stabilization Services",,,http://www.waysideyouth.org/,10 Asylum Street,,Milford,MA,01757,Worcester,508-478-6888,,,,,LGBTQ youth (homeless and at risk),,,,"Wayside is dedicated to achieving the highest standards of quality and integrity in providing leading edge counseling, family support, residential and educational services for building strength, hope and resiliency in youth, families and communities.",,,,,,,,,,,,,,,,,,,,,,,
Worcester State University Pride Alliance,Higher Education Organization,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://worcester.edu/StudentInvolvement/clubs/WSCPrideAlliance/default.aspx,486 Chandler Street,Worcester State University,Worcester,MA,01602,Worcester,,,wscpridalliance@Worcester.edu,,,LGBTQ youth,,,college student,"Our organization at Worcester State brings members together with two major goals in mind: acceptance and support. If you're looking for an LGBTSQ supportive outlet or just a safe place to have fun, our group is the right one for you!",,,,,,,,,,,,,,,,,,,,,,,
YARN (young adult resource network),Community Group,Job Development and Placement,,,,,Employment,Basic Support,,,,Job Development and Placement ,Housing Search,,,,,,Child/Adolescent Community Based Social Skills and Recreation,,,http://www.thehome.org/site/PageServer?pagename=programs_independent_living#.Uaj3NErloQo,,,Dorcester,MA,02122,Suffolk,617-287-0160,,,,,LGBTQ youth,,,17-22,"The Young Adult Resource Network assists young adults ages 17-22 who are involved with the Department of Children and Families (DCF) in obtaining stable housing, employment, physical and psychological wellness, and educational and community involvement, while developing supportive relationships.",,,,,,,,,,,,,,,,,,,,,,,
Younger Bi/Fluid Group (Bisexual Resource Center),Community Group,"Counseling, Therapy, Psychological and Psychiatric Services",,,,,Para-professional support services,,,,,"Para-professional Counseling, Therapy, and Support",,,,,,,Clubhouse,,,http://www.biresource.net/bostongroups.shtml,250 Elm Street,,Somerville,MA,02144,Middlesex,617-424-9595,,mailto:youngblissboston@gmail.com,,,LGBTQ youth,,,20-29,"If you are between the ages of 20-29 and identify somewhere along the lines of bisexual/omni/pan/fluid, or are questioning, please join us once a month for a few hours of discussion and support. Meetings are held on second Thursdays of each month at the back table at The Diesel Cafe, 257 Elm St, Somerville. All genders welcome!",,,,,,,,,,,,,,,,,,,,,,,
Youth on Fire,Health and Mental Health,Community Group,Screening and Testing,Drop-in Center ,Hotline Services,Case Management,Diagnostics ,Awareness, Para-professional Support Services,,,Medical Screening and Testing,Drop-in Center ,Hotline Services,Recreation Services,Case Management,,,Clubhouse,,,http://www.aac.org/about/our-work/youth-on-fire.html,1555 Massachusetts Avenue,,Cambridge,MA,02138,Middlesex, 617.661.2508,,mailto:yof@aac.org,,,LGBTQ youth,homeless youth,,,"Youth on Fire (YOF), a program of AIDS Action Committee of Massachusetts, is a drop-in center for homeless and street - involved youth, ages 14-24, located in Harvard Square, Cambridge. The primary goals of Youth on Fire are to respond to the basic and urgent needs of homeless and street-involved young adults,connect homeless and street-involved youth to age-appropriate services, and create safe and supportive relationships and a sense of community. ",,,,,,,,,,,,,,,,,,,,,,,
YWCA North Shore Rape Crisis Center,Health and Mental Health,Domestic and Sexual Violence Services,,,,,Para-professional support services,,,,,"Counseling, Therapy and Support",,,,,,,,,,www.nsrcc.org,20 Central Avenue,Suite 510, Lynn,MA,01901,,(781) 477-2313,,teen@ywcalawrence.org,,,,,,Older than 12,"The North Shore Rape Crisis Center provides services to all sexual assault survivors ages 12 years old or older and their significant others. We welcome all survivors regardless of race, ethnicity, gender, gender identity/expression, sexual orientation, disability, economic status, or legal status. All of our services are free and confidential.",,,,,,,,,,,,,,,,,,,,,,,
"Zenaida “Sandy” Ortega, Valley Psychiatric Services",Health and Mental Health,"Counseling, Therapy, Psychological and Psychiatric Services",Substance Abuse Services,,,,Health Care , Behavioral Health Services,,,,Psychiatric Services,Clinical Counseling,Behavioral Counseling,Substance Abuse Services  ,,,,"Clinical and Medical Counseling, Therapy, and Treatment",Clinical and Medical Diagnostics,,http://valleypsychiatric.com/,511 East Columbus Avenue,,Springfield,MA,01105,Hampden,413-827-8959 x1583,,,,,LGBTQ youth,transgender youth,,,"Mental health clinician for LGBT individuals; gender evaluations and letters for change of gender identification, hormone therapy, sexual reassignment, and other surgery and legal matters",,,,,,,,,,,,,,,,,,,,,,,
AIDS Foundation of Western Massachusetts,Community Group,,,,,,Para-professional support services,Awareness,,,,"Community Outreach, Education, and Engagement",,,,,,,,,,http://aidsfoundationwm.org/?page_id=10,1168 Main St.,,Springfield,MA,01103,,413-301-0955,,info@aidsfoundationwm.org,,,youth affected or infected with HIV/AIDS,,,,"The AIDS Foundation of Western Massachusetts (AFWM) was founded to provide emergency financial assistance to those in our communities who are limited as a direct or indirect result of HIV/AIDS. The organization also helps children who are infected or affected by HIV/AIDS attend the summer camp of their choice through our Camperships Program, providing a sense of normalcy and relief from day-to-day stressors of living with HIV/AIDS. ",,,,,,,,,,,,,,,,,,,,,,,
Out Books On Wheels,,,,,,,,,,,,"Community Outreach, Education, and Engagement",,,,,,,,,,http://www.outbooksonwheels.org/Contact.html,,,Pioneer Valley,MA,,,413-588-4019,,ino@outbooksonwheels.org,,jsavarese@outbooksonwheels.org,,,,,"We are a group of caring lesbian, gay, bisexual, transgender, and ally adults who make ourselves available to deliver LGBT books in our community.  Books are delivered by appointment by LGBT volunteers.",,,,,,,,,,,,,,,,,,,,,,,
