Organization	NEW Search Category	NEW Search Category 2	Search Category 1	Search Category 2	Search Category 3	Search Category 4	Search Category 5	Search Category 6	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 1	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Revised Service Class: Level 2	Service Class 1	Service Class 2	Service Class 3	Website URL	Address	Unit Number	City	State	Zip Code	County	Phone Number	Contact Name 1	Contact Email 1	Contact Name 2	Contact Email 2 (NOT FOR PUBLIC USE)	Target Population 1	Target Population 2	Target Population 3	Min Age	Max Age	Mission Statement	Languages Spoken	Wheelchair Accessible?	Insurance Accepted	Additional Notes
Lifecourse Counseling Center	Mental Health		Health and Mental Health	Counseling, Therapy, Psychological and Psychiatric Services					Health Care	 Behavioral Health Services												www.lifecourse.net	LifeCourse Counseling P.O. Box 845		Northampton	MA	01061	Hampshire	(413) 585-1655	Tetty Gorfine	info@lifecourse.net			Transgender					LifeCourse Counseling Center was established in 1980 and provides LGBTQI people therapy, counseling, psychotherapy, consultation and education throughout the Pioneer Valley of Western Mass and telephone and web cam therapy nation-wide.	English, American Sign Language (ASL)	No	MBHP (one form of Mass Health) and PPO insurances	
Live Out Loud Youth Group	Community & Social Support		Community Group	Counseling, Therapy, Psychological and Psychiatric Services					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Direct Prevention, Outreach and Stabilization Services			http://www.affirmativecounseling.net/liveoutloudyouthgroup.html	28 Renne Avenue		Pittsfield	MA	01201	Berkshire	(413) 358-5697	Kelly Heck	kellyheck@affirmativecounseling.net			LGBTQ					Come meet other Gay, Lesbian, Bisexual, Transgender, Questioning, and Allied youth in a safe, fun, supportive social setting.  Be a part of planning events for LGBT youth in your community.				
Lowell Community Health Center (Health Quarters)	Physical Health		Health and Mental Health	Government Entity	Screening and Testing	Sexual Health Services			Health Care	Diagnostics		Other Health Care Provider Services 	Medical Screening and Testing						Community Prevention, Education and Outreach			http://www.healthq.org/	161 Jackson Street	Family Planning Department-2nd Floor	Lowell	MA	01852	Middlesex	(978) 446-0236		info@healthq.org	Ruth Price	ruthp@healthq.org	LGBTQ					Welcome to Health Quarters, a provider of confidential reproductive healthcare, prevention, and education services for women, men, and teens on the North Shore and Merrimack Valley of Massachusetts.  Our friendly, approachable, bi-lingual providers are knowledgeable and focused on delivering the highest level of health and counseling services using the most modern procedures and services.	English, Spanish	Yes (but no low/high exam tables yet)	MassHealth, Medicaid, Medicare, Private health insurance, Sliding fee scale--do not deny access to services.	
Lowell Community Health Center TeenBLOCK	Community & Social Support		Community Group						Para-professional Support Services													http://www.lchealth.org/	161 Jackson Street	2nd Floor	Lowell	MA	01852	Middlesex	(978) 322-8949		Info@lchealth.org - EMAIL DOES NOT WORK								The Health Center's Teen Coalition supports the healthy development of young people and empowers them to become leaders in the community by working to reduce risky behaviors that lead to teen pregnancy, HIV/STIs, substance abuse and violence in Lowell, with the belief that promoting healthy behaviors will enhance future prospects for young people. 				
Lynn Community Health Center (Health Quarters)	Physical Health		Health and Mental Health	Government Entity	Screening and Testing	Sexual Health Services			Health Care	Diagnostics		Other Health Care Provider Services 	Medical Screening and Testing									http://www.healthq.org/	694 Western Avenue		Lynn	MA	01905	Essex	(781) 593-1115		info@healthq.org	Ruth Price	ruthp@healthq.org	LGBTQ					Welcome to Health Quarters, a provider of confidential reproductive healthcare, prevention, and education services for women, men, and teens on the North Shore and Merrimack Valley of Massachusetts.  Our friendly, approachable, bi-lingual providers are knowledgeable and focused on delivering the highest level of health and counseling services using the most modern procedures and services.	English, Spanish	Yes (but no low/high exam tables yet)	MassHealth, Medicaid, Medicare, Private health insurance, Sliding fee scale--do not deny access to services.	Emailed Ruth Price survey 4/30 and again 5/6
Massachusetts Commission on LGBTQ Youth	Training & Advocacy		Government Entity	Awareness and Advocacy					Awareness			Community Outreach, Education and Engagement							Capacity Building			http://www.mass.gov/cgly	250 Washington Street	4th Floor	Boston	MA	02108	Suffolk	(617) 624-5495	Landen Motyka	landen.motyka@state.ma.us			LGBTQ			12	23	The Massachusetts Commission on LGBT Youth is established by law as an independent agency of the Commonwealth to recommend and advocate to all branches of state government effective policies, programs, and resources for LGBT youth to thrive.		Yes	N/A	
Massachusetts Department of Public Health Safe Spaces for GLBTQ Youth	Training & Advocacy		Government Entity	Awareness and Advocacy					Awareness			Community Outreach, Education and Engagement							Advocacy and Funding			http://www.mass.gov/eohhs/gov/departments/dph/programs/community-health/dvip/violence/safe-spaces.html	250 Washington Street	4th Floor	Boston	MA	02108	Suffolk	(617) 624-5490		steven.smyth@state.ma.us			LGBTQ			12	24	Safe Spaces for GLBT Youth is committed to providing opportunities for gay, lesbian, bisexual and transgender youth to develop their full potential in a safe and supportive environment.	English, Spanish	Yes	N/A	
MAP for Health: Asian Pride	Community & Social Support		Community Group	Drop-in Center					Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			http://www.maphealth.org/programs/asian-pride/	322 Tremont Street		Boston	MA	02116	Suffolk	(617) 426-6755		map@maphealth.org	Andrea Machado	andrea@maphealth.org	LGBTQ	POC		16	24	This is a youth development and leadership program that provides services for lesbian, gay, bisexual, transgender, and queer (LGBTQ) youth of Asian and Pacific Islander descent				
Massachusetts Transgender Political Coalition	Training & Advocacy		Community Group	Awareness and Advocacy	Cultural Competency Training				Awareness			Community Outreach, Education and Engagement							Community Prevention, Education and Outreach			http://www.masstpc.org/	PO Box 960784		Boston	MA	02108	Suffolk	(617) 778-0519		mailto:info@masstpc.org			LGBTQ	Transgender	Allies			Founded in 2001, the Massachusetts Transgender Political Coalition (MTPC) is dedicated to ending discrimination on the basis of gender identity and gender expression. We envision a world where persons of all genders are treated with respect and fully participate in all areas of society, free from fear of prohibition, harassment or violence based on their gender identity and/or expression.				
MassEquality	Training & Advocacy		Education, Training, and Employment	Awareness and Advocacy					Awareness	Training and Educational Activities												massequality.org	5 Broad Street	Third Floor	Boston	MA	02109	Suffolk	(617) 878-2300		info@massequality.org								MassEquality is the leading statewide grassroots advocacy organization working to ensure that everyone across Massachusetts can thrive from cradle to grave without discrimination and oppression based on sexual orientation, gender identity, or gender expression. We do this by partnering across issues, identities and communities to build a broad, inclusive and politically powerful movement that changes hearts and minds and achieves policy and electoral victories				
McVagly (Merrimack Valley Alliance of Gay, Lesbian, Bisexual, and Transgender Youth)	Community & Social Support		Community Group						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Clubhouse			www.mcvagly.org	190 Academy Road		North Andover	MA	01845	Essex	(978) 397-4652	Tad	tjbickford@comcast.net	Amy	morgnsgrl@comcast.net	LGBTQ	Transgender		15	23	McVAGLY aims to provide LGBT youth from the Merrimack Valley a safe environment to gather weekly to discuss issues that may not be adequately addressed elsewhere. These issues may include coming out, safe sex, the effectiveness of high school and middle school GSAs, suicide, and GLBT rights in the community.	English	Yes	N/A	All meetings are facilitated by high school and college students and  chaperoned by adults 25+ yrs. When: Every Monday evening from 6:30 pm to 8:30  pm  Where: North Parish Unitarian Universalist Church in old North  Andover Center. (If you are at the church looking at the front, we meet in a  room on the Great Pond Road side of the church) 
Men's Resource Center for Change	Training & Advocacy		Education, Training, and Employment						Para-professional Support Services			Para-professional Counseling, Therapy and Support							Direct Prevention, Outreach and Stabilization Services			http://www.mrcforchange.org			Amherst	MA	01004	Hampshire	(413) 253-9887		mrc@mrcforchange.org			LGBTQ					The mission of the Men's Resource Center for Change is to support men in developing healthy self-awareness and meaningful personal relationships with women, children and other men that move beyond the limits of masculine stereotypes and social patterns that have divided men historically.				
Metropolitan Community Church of Boston	Faith Based Organization		Faith Based Organization							Para-professional Support Services												mccboston.org	Old West Church, 131 Cambridge Street		Boston	MA	02114	Suffolk	(617) 973-0404		church@mccboston.org	Paul Moyer (781) 245-5698	pwmoyer@gmail.com	LGBTQ			18		A human rights church ministering to the Lesbian, Gay, Bisexual, Transgender, and Queer Communities Christian worship - inclusive and affirming for all people. 	English	Sanctuary: Yes; Restrooms: No	N/A	
Miriam Krell Bourke, Esq. and Valley Mediation 	Legal		Legal Services						Other Professional Services			Legal Services										www.valleymediation.com	355 Bridge Street	Suite 4B	Northampton	MA	 01060 	Hampshire	(413) 563-1272		mkb@valleymediation.com			Transgender						English	No	N/A	
